"Batter","BatterSide","ExitSpeed","LaunchAngle","Direction","Bearing","Distance","TaggedHitType"
"Kendal Ewell","Right",113.13,34.94,-24.94,-29.14,435.73,"FlyBall"
"Kendal Ewell","Right",105.71,41.02,-13.43,-13.12,395.91,"FlyBall"
"Kendal Ewell","Right",97.74,29.97,-10.42,-12.27,357.53,"FlyBall"
"Kendal Ewell","Right",90.84,28.44,-10.36,-12.63,305.1,"FlyBall"
"Kendal Ewell","Right",104.24,27.81,-14.86,-8.08,420.92,"FlyBall"
"Kendal Ewell","Right",109.13,31.51,-8.89,-4.86,487.78,"FlyBall"
"Kendal Ewell","Right",104.91,46.11,-10.54,-5.2,385.8,"FlyBall"
"Kendal Ewell","Right",104.91,48.02,-8.56,-2.5,405.01,"FlyBall"
"Kendal Ewell","Right",95.45,61.35,35.44,0.04,446.55,"FlyBall"
"Kendal Ewell","Right",109.98,32.56,0.04,2.3,446.55,"FlyBall"
"Kendal Ewell","Right",110.95,23.98,-3.19,3.15,366.93,"FlyBall"
"Kendal Ewell","Right",89.77,42.26,2.13,11.68,280.12,"FlyBall"
"Kendal Ewell","Right",101.55,49.07,5.09,12.53,289.64,"FlyBall"
"Kendal Ewell","Right",102.66,21.56,4.43,12.23,295.56,"FlyBall"
"Kendal Ewell","Right",108.68,34.54,0.46,8.92,414.5,"FlyBall"
"Kendal Ewell","Right",106.12,51.26,6.48,13.37,374.72,"FlyBall"
"Kendal Ewell","Right",106.04,22.1,5.57,13.14,404.89,"FlyBall"
"Kendal Ewell","Right",98.85,58,18.66,23.2,240.85,"FlyBall"
"Kendal Ewell","Right",110.77,33.9,3.9,19.22,401.01,"FlyBall"
"Kendal Ewell","Right",104.79,31.55,2,16.99,405.88,"FlyBall"
"Kendal Ewell","Right",103.89,27.49,6.47,21.46,398.86,"FlyBall"
"Kendal Ewell","Right",102.62,27.1,9.98,23.75,369.29,"FlyBall"
"Kendal Ewell","Right",107.8,27.75,7.96,22.44,413.38,"FlyBall"
"Kendal Ewell","Right",100.89,39.11,15.82,32.64,321.84,"FlyBall"
"Kendal Ewell","Right",102.41,16.57,15.77,31.67,305.57,"FlyBall"
"Kendal Ewell","Right",96.99,34.59,24.49,40.59,297.26,"FlyBall"
"Kendal Ewell","Right",102.38,37.87,13.47,31.84,370.89,"FlyBall"
"Kendal Ewell","Right",96.06,28.26,17.22,32.53,366.89,"FlyBall"
"Kendal Ewell","Right",106.07,27.13,25.41,41.29,372.94,"FlyBall"
"Kendal Ewell","Right",90.77,42.58,35.03,47.39,273.54,"FlyBall"
"Kendal Ewell","Right",102.12,38.12,40.99,39.77,314.81,"FlyBall"
"Kendal Ewell","Right",98.75,42.48,23.79,41.9,372.04,"FlyBall"
"Kendal Ewell","Right",105.35,8.13,-15.65,-18.82,136.36,"GroundBall"
"Kendal Ewell","Right",106.47,3.69,-23.62,-26.1,119.04,"GroundBall"
"Kendal Ewell","Right",100.04,9.79,-8.35,-13.88,141.75,"GroundBall"
"Kendal Ewell","Right",95.78,2.17,-25.45,-26.31,69.14,"GroundBall"
"Kendal Ewell","Right",90.68,6.12,-15.91,-17.81,88.45,""
"Kendal Ewell","Right",106.34,5.85,-9.79,-9.7,103.82,""
"Kendal Ewell","Right",102.11,5.36,-9.09,-9.2,92.18,""
"Kendal Ewell","Right",99.57,1.45,-13.94,-16.34,56.44,""
"Kendal Ewell","Right",99.69,-5.33,-30.05,-19.64,23.25,""
"Kendal Ewell","Right",82.71,-7.84,-32.77,-27.93,20.42,""
"Kendal Ewell","Right",106.34,-0.72,-10.62,-6.84,24.95,""
"Kendal Ewell","Right",93.91,-5.14,-18.54,-14.31,21.84,""
"Kendal Ewell","Right",100.04,5.61,-8.66,-7.35,45.31,""
"Kendal Ewell","Right",97.07,-12.67,-12.1,-11.14,10.84,""
"Kendal Ewell","Right",83.12,-40.97,-8.8,-39.78,3.01,""
"Kendal Ewell","Right",100.42,-9.42,-9.51,-7.69,12.7,""
"Kendal Ewell","Right",104.75,-2.97,-3.81,-4.31,24.39,""
"Kendal Ewell","Right",94.37,-39.06,-36.72,-17.21,4.8,""
