polygon_id,x,y
1,-83.77542,106.4171
1,-95,80
1,-253,245
1,-215.14179,304.0018
2,-65.42217,128.4855
2,-83.77542,106.4171
2,-215.14179,304.0018
2,-163.85035,351.7892
3,-41.49363,144.3373
3,-65.42217,128.4855
3,-163.85035,351.7892
3,-102.32157,385.3847
4,-14.01508,152.6309
4,-41.49363,144.3373
4,-102.32157,385.3847
4,-34.38923,402.6951
5,14.68777,152.6643
5,-14.01508,152.6309
5,-34.38923,402.6951
5,35.71389,402.6417
6,42.18557,144.4347
6,14.68777,152.6643
6,35.71389,402.6417
6,103.61977,385.2278
7,66.15095,128.6387
7,42.18557,144.4347
7,103.61977,385.2278
7,165.09728,351.5385
8,84.55554,106.6131
8,66.15095,128.6387
8,165.09728,351.5385
8,216.31583,303.673
9,95.84161,80.2222
9,84.55554,106.6131
9,216.31583,303.673
9,254.08408,244.6136
