Batter Name,Hit Time,Exit Speed (mph),Launch Angle (°),Direction (°),Bearing (°),Distance (ft),TaggedHitType
Paul Toetz,5/6/2023 15:16,107.52,28.54,-27.19,-35.5,444.07,FlyBall
Paul Toetz,5/12/2023 20:04,95.24,32.88,-30.03,-35.22,378.04,FlyBall
Paul Toetz,3/26/2023 15:38,103.83,42.8,-32.49,-33.55,332.48,FlyBall
Paul Toetz,10/20/2022 16:38,109.06,23.73,-18.26,-23.37,421.17,FlyBall
Paul Toetz,5/9/2024 21:43,88.68,30.99,-19.22,-21.24,337.72,FlyBall
Paul Toetz,3/12/2023 16:46,103.97,23.3,-20.37,-17.51,364.08,FlyBall
Paul Toetz,5/13/2023 15:42,82.93,26.97,-19.53,-18.67,301.47,FlyBall
Paul Toetz,3/31/2023 14:39,98.27,31.1,-14.57,-12.92,390.96,FlyBall
Paul Toetz,3/16/2024 15:11,103.67,15.91,-8.79,-13.8,291.03,FlyBall
Paul Toetz,5/18/2023 21:01,85.84,18.74,-14.9,-11.42,288.67,FlyBall
Paul Toetz,3/8/2024 14:50,88.71,40.4,-14.38,-9.45,263.16,FlyBall
Paul Toetz,5/31/2024 14:05,83.98,19.71,-7.07,-2.98,247.29,FlyBall
Paul Toetz,3/17/2023 17:22,341.91,212.7,0,86.07,0,FlyBall
Paul Toetz,2/20/2024 17:27,104.39,24.07,-6.47,0.23,398.2,FlyBall
Paul Toetz,3/23/2024 16:20,94.92,43.28,-7.75,0.35,303.83,FlyBall
Paul Toetz,10/20/2022 16:02,80.26,45.03,-3.73,2.28,267.59,FlyBall
Paul Toetz,5/5/2023 18:23,91.57,29.58,-4.08,3.48,339.79,FlyBall
Paul Toetz,3/8/2024 15:47,90.5,21.85,-2.13,3.87,326.12,FlyBall
Paul Toetz,4/15/2023 14:56,102.1,25.63,-2.33,4.39,412.28,FlyBall
Paul Toetz,3/24/2023 18:42,90.16,42.33,-0.69,8.85,272.3,FlyBall
Paul Toetz,3/11/2023 14:07,85.42,41.73,-4.74,10.28,251.98,FlyBall
Paul Toetz,4/11/2023 18:56,102.08,29.1,-1.88,7.24,390.87,FlyBall
Paul Toetz,3/9/2024 18:50,102.98,19.03,-2.94,8.43,362.4,FlyBall
Paul Toetz,4/2/2024 18:34,93.81,23.83,1.67,11.39,332.14,FlyBall
